unique_key,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
3289409,HK319559,23/4/2004 10:50:00,103XX S DR MARTIN LUTHER KING JR DR,0320,ROBBERY,STRONGARM - NO WEAPON,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,512,5,9,49,03,1180736,1836592,2004,28/2/2018 3:56:25,41.70685919,-87.61375601,"(41.706859194, -87.613756011)"
1555816,G308994,29/5/2001 1:26:38,001XX W 103 ST,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,TRUE,FALSE,512,5,,,03,1177027,1836614,2001,17/8/2015 3:03:40,41.70700381,-87.62733757,"(41.707003812, -87.627337566)"
1813958,G424973,20/7/2001 2:57:41,105XX S EDBROOKE AV,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,FALSE,FALSE,512,5,,,03,1179094,1835090,2001,17/8/2015 3:03:40,41.702775,-87.61981452,"(41.702774996, -87.619814517)"
3616472,HK704544,23/10/2004 8:29:00,004XX E 103RD ST,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,FALSE,FALSE,512,5,9,49,03,1180862,1836762,2004,28/2/2018 3:56:25,41.70732281,-87.6132894,"(41.707322807, -87.613289399)"
2220109,HH486720,4/7/2002 1:30:00,009XX E 104TH ST,0320,ROBBERY,STRONGARM - NO WEAPON,RESIDENCE,FALSE,TRUE,512,5,9,50,03,1184238,1836191,2002,28/2/2018 3:56:25,41.70567778,-87.60094436,"(41.705677782, -87.600944364)"
8684968,HV360067,30/6/2012 1:00:00,103XX S MICHIGAN AVE,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,FALSE,FALSE,512,5,9,49,03,1178964,1836624,2012,4/2/2016 6:33:39,41.70698746,-87.62024403,"(41.706987456, -87.620244029)"
9394693,HW537966,15/11/2013 3:30:00,104XX S CORLISS AVE,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,FALSE,FALSE,512,5,9,50,03,1183417,1836085,2013,10/2/2018 3:50:01,41.70540603,-87.60395405,"(41.705406026, -87.603954053)"
2660266,HJ274204,1/4/2003 7:00:00,105XX S COTTAGE GROVE AVE,0320,ROBBERY,STRONGARM - NO WEAPON,RESIDENCE,FALSE,TRUE,512,5,9,50,03,1182471,1835328,2003,28/2/2018 3:56:25,41.70335066,-87.60744154,"(41.703350655, -87.607441544)"
4426239,HL721916,7/11/2005 6:53:43,006XX E 105TH PL,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,FALSE,FALSE,512,5,9,50,03,1182527,1835144,2005,28/2/2018 3:56:25,41.70284444,-87.60724217,"(41.70284444, -87.607242167)"
4433144,HL720113,6/11/2005 11:05:39,003XX W 107TH ST,0320,ROBBERY,STRONGARM - NO WEAPON,RESIDENCE,FALSE,FALSE,512,5,34,49,03,1175862,1833969,2005,28/2/2018 3:56:25,41.69977168,-87.63168268,"(41.699771681, -87.631682683)"
9879883,HX529440,3/12/2014 7:00:00,003XX W 106TH PL,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,TRUE,FALSE,512,5,34,49,03,1175843,1834300,2014,10/2/2018 3:50:01,41.70068042,-87.63174238,"(41.700680418, -87.63174238)"
2094971,HH324650,22/4/2002 7:30:00,002XX W 107 ST,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,FALSE,FALSE,512,5,,,03,,,2002,4/2/2016 6:33:39,,,
4221258,HL522697,1/8/2005 10:00:00,103XX S MICHIGAN AVE,0325,ROBBERY,VEHICULAR HIJACKING,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,512,5,9,49,03,1178964,1836624,2005,28/2/2018 3:56:25,41.70698746,-87.62024403,"(41.706987456, -87.620244029)"
11965376,JD132387,29/1/2020 7:59:00,106XX S COTTAGE GROVE AVE,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,FALSE,FALSE,512,5,9,50,03,1182338,1834504,2020,5/2/2020 3:55:05,41.70109257,-87.60795397,"(41.701092567, -87.607953971)"
12623278,JF150770,20/2/2022 7:25:00,003XX W 104TH ST,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,FALSE,FALSE,512,5,34,49,03,1175839,1835959,2022,3/1/2023 3:46:28,41.70523304,-87.63170754,"(41.705233043, -87.631707536)"
5491597,HN313365,30/4/2007 5:18:00,001XX E 103RD ST,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,TRUE,FALSE,512,5,9,49,03,1179080,1836710,2007,28/2/2018 3:56:25,41.70722082,-87.61981663,"(41.707220815, -87.619816632)"
4904892,HM510657,31/7/2006 3:00:00,105XX S WENTWORTH AVE,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,FALSE,TRUE,512,5,34,49,03,1176810,1835237,2006,28/2/2018 3:56:25,41.70323001,-87.62817351,"(41.703230009, -87.628173505)"
2421716,HH740306,26/10/2002 7:16:34,001XX W 103RD PL,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,FALSE,FALSE,512,5,34,49,03,1177082,1836324,2002,28/2/2018 3:56:25,41.70620677,-87.62714487,"(41.706206774, -87.627144867)"
8799598,HV473363,12/9/2012 9:52:00,0000X W 107TH ST,0330,ROBBERY,AGGRAVATED,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,512,5,34,49,03,1177678,1834013,2012,10/2/2018 3:50:01,41.69985163,-87.62503196,"(41.699851632, -87.625031961)"
6694487,HR109248,6/1/2009 8:20:00,103XX S FOREST AVE,0330,ROBBERY,AGGRAVATED,STREET,TRUE,FALSE,512,5,9,49,03,1180072,1836511,2009,28/2/2018 3:56:25,41.70665212,-87.61619002,"(41.70665212, -87.616190019)"
10945867,JA265160,15/5/2017 6:30:00,105XX S WENTWORTH AVE,0330,ROBBERY,AGGRAVATED,SIDEWALK,FALSE,FALSE,512,5,34,49,03,1176810,1835237,2017,10/2/2018 3:50:01,41.70323001,-87.62817351,"(41.703230009, -87.628173505)"
1969138,HH162378,2/2/2002 12:44:15,103XX S EBERHART AV,0330,ROBBERY,AGGRAVATED,SIDEWALK,TRUE,FALSE,512,5,,,03,1181403,1836577,2002,28/2/2018 3:56:25,41.70680271,-87.61131395,"(41.706802712, -87.611313949)"
5874580,HN680044,31/10/2007 5:45:00,103XX S RHODES AVE,033A,ROBBERY,ATTEMPT: ARMED-HANDGUN,STREET,FALSE,FALSE,512,5,9,49,03,1181743,1836326,2007,28/2/2018 3:56:25,41.70610611,-87.61007661,"(41.706106106, -87.610076607)"
4684570,HM287754,13/4/2006 1:40:00,103XX S CALUMET AVE,033A,ROBBERY,ATTEMPT: ARMED-HANDGUN,SIDEWALK,FALSE,FALSE,512,5,9,49,03,1180408,1836399,2006,28/2/2018 3:56:25,41.70633709,-87.61496303,"(41.706337092, -87.614963028)"
7771052,HS577764,22/10/2010 9:25:00,001XX W 107TH ST,033A,ROBBERY,ATTEMPT: ARMED-HANDGUN,ALLEY,FALSE,FALSE,512,5,34,49,03,1177042,1833997,2010,10/2/2018 3:50:01,41.69982206,-87.6273612,"(41.699822056, -87.627361198)"
